a11,a12,a21,a22,b11,b12,b21,b22,c11,c12,c21,c22
-3,7,6,-19,14,20,7,14,7,38,-49,-146
4,-18,20,-16,-16,18,-17,-12,242,288,-48,552
3,5,-16,-18,-16,5,9,-6,-3,-15,94,28
-13,-18,-20,10,-4,11,20,9,-308,-305,280,-130
-16,0,11,20,-18,-19,-5,-7,288,304,-298,-349
20,1,-9,-1,0,-4,-12,-6,-12,-86,12,42
-13,-8,-3,8,10,-7,-11,-20,-42,251,-118,-139
17,-19,-3,-18,8,0,-4,-5,212,95,48,90
15,-2,17,-5,7,-9,-11,-11,127,-113,174,-98
5,1,-18,12,3,3,-9,-20,6,-5,-162,-294
18,0,4,16,-9,4,14,13,-162,72,188,224
7,5,2,16,-2,-7,19,-10,81,-99,300,-174
0,-14,3,-12,-11,10,13,-15,-182,210,-189,210
-20,-13,18,8,-7,6,11,6,-3,-198,-38,156
18,10,12,3,15,-12,14,4,410,-176,222,-132
-11,17,12,-9,5,15,2,-5,-21,-250,42,225
-20,-17,-17,16,18,17,20,20,-700,-680,14,31
-10,-4,-7,-3,13,-15,-4,8,-114,118,-79,81
-12,5,20,-8,2,-16,0,13,-24,257,40,-424
17,-6,-13,-1,2,18,-2,-3,46,324,-24,-231
16,1,7,0,-9,-11,18,-8,-126,-184,-63,-77
2,-20,-6,-14,-9,-15,-14,-12,262,210,250,258
5,8,11,10,-18,18,11,-13,-2,-14,-88,68
12,-12,0,-18,-4,17,-11,-17,84,408,198,306
-14,-16,20,-14,5,5,-7,-6,42,26,198,184
3,12,-16,-14,19,-5,-1,-1,45,-27,-290,94
18,8,-8,-13,-10,0,1,-11,-172,-88,67,143
20,0,-20,1,-14,6,9,-6,-280,120,289,-126
-1,17,18,-14,-3,-18,1,-9,20,-135,-68,-198
18,19,-16,11,-12,19,-11,-17,-425,19,71,-491
13,-17,6,-5,-8,-18,16,-9,-376,-81,-128,-63
15,5,4,-19,17,-15,15,-6,330,-255,-217,54
17,16,-3,16,-16,-18,4,20,-208,14,112,374
6,8,10,15,15,-11,-13,-11,-14,-154,-45,-275
-20,-20,14,12,-7,-17,18,-4,-220,420,118,-286
-19,-15,4,19,-13,17,20,7,-53,-428,328,201
19,-8,20,13,-6,-19,-20,1,46,-369,-380,-367
19,2,3,0,-16,16,17,-16,-270,272,-48,48
-5,3,-14,18,16,-10,-13,3,-119,59,-458,194
-12,-3,6,6,-2,16,19,20,-33,-252,102,216
12,-4,20,4,12,3,-18,-11,216,80,168,16
-3,17,-2,-11,-16,7,-9,-19,-105,-344,131,195
-11,-3,14,-18,1,-6,-3,5,-2,51,68,-174
-9,-2,0,10,18,20,-4,-6,-154,-168,-40,-60
-5,9,6,-10,-16,-15,5,15,125,210,-146,-240
-12,-6,5,10,15,5,-3,-10,-162,0,45,-75
-1,9,-1,-7,15,12,-18,-16,-177,-156,111,100
-10,-11,-5,-8,14,-5,-18,20,58,-170,74,-135
7,-19,8,0,9,18,-18,14,405,-140,72,144
14,-10,-16,15,-5,7,5,9,-120,8,155,23
17,19,-8,-12,-9,14,-2,13,-191,485,96,-268
-7,-10,12,-7,13,-3,-5,-10,-41,121,191,34
4,-12,-17,-12,0,7,-2,-3,24,64,24,-83
-19,-15,10,4,12,-11,13,7,-423,104,172,-82
-17,-14,-13,10,4,14,14,3,-264,-280,88,-152
3,9,-16,12,-4,-1,-12,-11,-120,-102,-80,-116
-16,-15,-20,-14,16,19,-17,15,-1,-529,-82,-590
19,-14,-18,-12,-13,14,18,20,-499,-14,18,-492
-9,-3,-2,12,10,-18,-6,-12,-72,198,-92,-108
7,-14,7,20,-20,-3,18,9,-392,-147,220,159
18,-13,19,-3,1,5,12,15,-138,-105,-17,50
-1,-7,-4,15,12,20,-14,-5,86,15,-258,-155
-18,-12,19,-6,17,-10,18,0,-522,180,215,-190
13,-20,-1,-5,1,2,-4,16,93,-294,19,-82
-11,20,-9,11,6,0,1,-5,-46,-100,-43,-55
2,10,-20,-7,-13,16,-2,-15,-46,-118,274,-215
-2,10,7,8,13,7,16,-12,134,-134,219,-47
4,5,5,13,6,-18,-5,6,-1,-42,-35,-12
-1,-12,-1,5,20,-1,-4,-9,28,109,-40,-44
17,-13,11,12,1,6,-1,3,30,63,-1,102
-1,19,-11,-7,4,-18,-8,-13,-156,-229,12,289
5,-5,3,17,20,5,3,-9,85,70,111,-138
-8,-13,5,-6,7,1,-19,16,191,-216,149,-91
16,-8,-5,-12,15,2,11,12,152,-64,-207,-154
0,17,4,12,19,1,-5,7,-85,119,16,88
17,-19,15,-9,-11,12,-15,-10,98,394,-30,270
12,14,-10,13,2,-16,-1,-18,10,-444,-33,-74
16,-13,14,-14,8,-11,-15,-4,323,-124,322,-98
15,-16,17,11,19,6,-8,-3,413,138,235,69
15,18,9,17,-4,-20,15,-8,210,-444,219,-316
-8,18,-6,13,14,16,14,4,140,-56,98,-44
7,2,11,19,-20,-10,-7,13,-154,-44,-353,137
-7,18,19,-10,19,15,-11,17,-331,201,471,115
-14,-8,1,-5,-5,-9,3,-7,46,182,-20,26
17,-10,-15,-20,-14,4,-14,0,-98,68,490,-60
13,6,-20,12,19,5,-16,-3,151,47,-572,-136
20,-13,2,-20,2,-4,15,4,-155,-132,-296,-88
-6,-12,10,-16,14,2,10,-3,-204,24,-20,68
18,-12,-4,6,8,9,-14,16,312,-30,-116,60
2,2,1,19,-15,-12,-4,13,-38,2,-91,235
1,-13,12,10,-12,-12,-11,1,131,-25,-254,-134
7,2,-10,14,-1,-11,18,13,29,-51,262,292
-2,-10,-14,-17,5,17,13,5,-140,-84,-291,-323
18,-17,16,-14,3,7,5,-11,-31,313,-22,266
-15,1,-2,11,-20,15,-9,-3,291,-228,-59,-63
8,13,-8,0,7,-7,-8,2,-48,-30,-56,56
3,7,-20,-18,17,0,4,13,79,91,-412,-234
-7,20,18,8,5,-12,13,-9,225,-96,194,-288
5,-6,11,-11,-11,20,-8,-18,-7,208,-33,418
-13,9,-3,11,6,19,-18,-10,-240,-337,-216,-167
-17,-6,19,-5,-11,-4,-15,8,277,20,-134,-116
-17,19,4,16,-11,-12,20,3,567,261,276,0
-17,4,-13,9,12,13,7,-20,-176,-301,-93,-349
-18,-4,13,-16,-6,11,-1,-9,112,-162,-62,287
1,-11,17,1,16,-10,-12,-4,148,34,260,-174
-19,-17,-11,-6,3,16,-20,11,283,-491,87,-242
-13,7,17,9,-7,-9,-17,-7,-28,68,-272,-216
-6,4,3,8,1,3,18,-18,66,-90,147,-135
-19,16,17,-2,-15,-14,15,5,525,346,-285,-248
14,18,-13,-16,-6,14,-8,-9,-228,34,206,-38
-6,-7,13,-10,-5,-20,-14,-7,128,169,75,-190
18,15,18,-3,0,9,-5,3,-75,207,15,153
5,3,6,12,-18,1,5,19,-75,62,-48,234
0,-4,16,3,-2,8,11,3,-44,-12,1,137
-1,-17,10,-20,-13,-16,-7,11,132,-171,10,-380
12,18,5,-5,-5,-17,-20,18,-420,120,75,-175
-10,2,-19,6,14,5,-9,3,-158,-44,-320,-77
-3,4,-12,-14,2,0,-18,-20,-78,-80,228,280
1,6,-16,4,-15,14,-10,3,-75,32,200,-212
16,6,2,-7,8,-11,18,-2,236,-188,-110,-8
-12,-9,16,-19,-14,17,-4,11,204,-303,-148,63
-17,1,-4,-6,-14,-15,-9,20,229,275,110,-60
-20,6,13,-5,-10,0,-10,-14,140,-84,-80,70
19,6,11,10,-4,-4,11,-4,-10,-100,66,-84
-14,16,19,-9,10,-4,5,-18,-60,-232,145,86
3,9,18,-15,-20,-15,-8,-8,-132,-117,-240,-150
0,13,1,-14,13,3,-18,2,-234,26,265,-25
-6,-13,-18,8,-15,3,-15,2,285,-44,150,-38
-13,-2,11,-2,-12,19,13,-14,130,-219,-158,237
4,16,-10,-7,5,9,15,17,260,308,-155,-209
-20,-4,17,5,8,5,20,14,-240,-156,236,155
7,2,3,-15,4,19,8,11,44,155,-108,-108
13,-2,-8,3,7,-9,1,14,89,-145,-53,114
-13,2,14,0,-2,11,-12,-12,2,-167,-28,154
20,20,16,-2,17,-14,-2,-10,300,-480,276,-204
-13,3,-11,9,19,-10,18,-12,-193,94,-47,2
-4,17,-7,15,1,18,-10,4,-174,-4,-157,-66
14,17,10,-1,18,4,-20,-3,-88,5,200,43
-4,17,-14,-3,0,2,-7,-6,-119,-110,21,-10
13,1,-8,-13,8,-19,11,10,115,-237,-207,22
6,6,-3,-17,-4,-4,2,1,-12,-18,-22,-5
15,-17,10,-4,18,-8,-18,0,576,-120,252,-80
-5,-4,-14,-3,20,-20,16,6,-164,76,-328,262
-17,7,11,0,2,-8,-18,17,-160,255,22,-88
-13,-11,-5,-3,8,-6,-6,1,-38,67,-22,27
19,-20,-2,-7,-8,10,13,6,-412,70,-75,-62
-2,-1,15,16,14,-19,-20,3,-8,35,-110,-237
-14,17,-13,-8,-18,-7,3,5,303,183,210,51
-10,-11,-3,4,-1,-18,9,17,-89,-7,39,122
15,-9,8,5,3,5,4,-15,9,210,44,-35
20,-20,-15,16,-19,1,-1,4,-360,-60,269,49
-15,10,-9,1,-11,9,18,-11,345,-245,117,-92
-20,1,-11,-12,18,-2,-16,16,-376,56,-6,-170
8,2,7,10,-16,-20,-9,-2,-146,-164,-202,-160
-19,9,10,10,18,-18,-8,-8,-414,270,100,-260
16,10,4,1,3,8,-12,-1,-72,118,0,31
-12,19,-2,-8,-3,-15,3,-10,93,-10,-18,110
-2,0,3,16,16,14,-20,-2,-32,-28,-272,10
19,4,10,6,10,-7,-6,-4,166,-149,64,-94
13,19,1,17,20,-3,7,-5,393,-134,139,-88
13,16,19,8,20,-14,12,-5,452,-262,476,-306
-9,11,-15,1,-10,-11,-20,3,-130,132,130,168
5,-6,-7,-3,2,-16,-7,0,52,-80,7,112
-11,-10,-19,-16,13,-15,17,1,-313,155,-519,269
2,1,17,20,19,-19,3,-6,41,-44,383,-443
8,3,2,-12,-7,14,-15,-10,-101,82,166,148
-1,-1,14,0,17,4,8,17,-25,-21,238,56
-8,-12,0,-9,8,8,10,0,-184,-64,-90,0
8,9,-20,-18,20,13,3,7,187,167,-454,-386
-4,1,-5,10,4,13,16,5,0,-47,140,-15
1,12,-13,14,16,-12,0,8,16,84,-208,268
11,-13,-10,15,-15,-14,-14,5,17,-219,-60,215
2,17,18,12,13,-14,-14,2,-212,6,66,-228
20,12,12,19,13,11,-10,15,140,400,-34,417
-9,8,-5,-1,10,14,-19,2,-242,-110,-31,-72
14,0,5,-19,-18,-16,-5,2,-252,-224,5,-118
-2,-18,-20,13,9,-20,-7,-3,108,94,-271,361
-3,-20,-20,-9,-10,6,11,8,-190,-178,101,-192
-7,-13,20,-17,0,4,-9,12,117,-184,153,-124
2,9,-4,-4,-17,7,-18,15,-196,149,140,-88
-17,-10,5,-20,20,1,-17,-9,-170,73,440,185
11,1,-6,6,-12,11,2,10,-130,131,84,-6
9,-14,7,-6,-18,18,14,-8,-358,274,-210,174
10,16,10,-19,11,-17,11,10,286,-10,-99,-360
3,20,-6,4,-14,1,15,1,258,23,144,-2
-16,16,-8,16,20,1,-20,9,-640,128,-480,136
-16,1,-4,2,-4,6,-20,-7,44,-103,-24,-38
6,-7,4,6,20,-8,2,8,106,-104,92,16
3,6,17,-13,17,5,-17,15,-51,105,510,-110
8,4,13,18,-6,-9,-6,1,-72,-68,-186,-99
-19,15,19,10,-15,12,16,-5,525,-303,-125,178
14,20,-9,0,19,-5,19,2,646,-30,-171,45
-16,-16,-3,-12,15,12,14,0,-464,-192,-213,-36
-15,5,10,16,-10,8,-3,5,135,-95,-148,160
-8,-5,9,11,5,11,-1,14,-35,-158,34,253
-3,-6,-20,-9,8,5,0,19,-24,-129,-160,-271
11,-20,-2,10,-18,-9,9,-4,-378,-19,126,-22
17,15,-19,10,-19,11,-16,19,-563,472,201,-19
-2,7,16,13,16,14,-17,17,-151,91,35,445
5,-16,-11,-18,-6,-5,5,7,-110,-137,-24,-71
12,-14,-18,6,-6,3,15,-14,-282,232,198,-138
-19,-12,2,-19,-2,20,-15,12,218,-524,281,-188
1,14,13,-19,3,-15,20,3,283,27,-341,-252
20,-3,9,-20,20,-18,3,12,391,-396,120,-402
6,15,-9,-7,5,-14,17,5,285,-9,-164,91
13,-11,-17,-2,-6,-14,-10,-20,32,38,122,278
18,-17,-15,-6,-18,6,1,11,-341,-79,264,-156
17,-10,-20,-5,0,19,-9,0,90,323,45,-380
-2,16,18,-7,-19,13,20,15,358,214,-482,129
2,10,-19,9,15,10,0,3,30,50,-285,-163
8,-14,-9,5,-20,-12,-3,17,-118,-334,165,193
10,17,-19,-7,-14,20,0,15,-140,455,266,-485
-9,14,20,4,-11,5,1,-4,113,-101,-216,84
19,-3,10,-19,-19,12,2,19,-367,171,-228,-241
-8,-13,-3,-1,-13,-15,15,-16,-91,328,24,61
2,-19,16,10,-8,-7,16,1,-320,-33,32,-102
-4,12,-14,-4,-2,-1,0,7,8,88,28,-14
-14,-4,5,-18,6,5,7,-19,-112,6,-96,367
3,19,-18,20,16,-19,5,18,143,285,-188,702
-5,3,-17,12,-19,-18,-4,-14,83,48,275,138
-17,-14,6,13,-12,16,9,16,78,-496,45,304
0,12,13,-4,6,-10,-7,-7,-84,-84,106,-102
-1,7,-5,-4,-2,12,-9,-15,-61,-117,46,0
19,6,-10,-15,2,-3,-15,-17,-52,-159,205,285
-2,-15,4,17,4,14,8,-5,-128,47,152,-29
12,-4,-2,-11,0,-5,-14,-3,56,-48,154,43
17,-5,2,16,-7,-3,6,-11,-149,4,82,-182
16,13,19,-4,2,-5,-4,-15,-20,-275,54,-35
7,-4,2,-13,20,-18,-19,10,216,-166,287,-166
20,20,-6,-2,3,-12,11,-4,280,-320,-40,80
-17,4,0,19,0,20,-13,-20,-52,-420,-247,-380
17,-14,-18,6,3,-14,19,11,-215,-392,60,318
1,-20,-3,16,3,-14,-2,-7,43,126,-41,-70
0,12,-5,-12,-4,19,-16,6,-192,72,212,-167
-9,18,-19,19,6,8,-3,-4,-108,-144,-171,-228
10,-8,-15,-4,16,-19,-13,-13,264,-86,-188,337
-11,7,-15,10,5,-19,-17,-4,-174,181,-245,245
-15,-10,13,7,-14,-17,-8,-11,290,365,-238,-298
-9,-13,6,-11,-10,-14,-6,18,168,-108,6,-282
20,-14,-3,10,11,15,7,12,122,132,37,75
1,17,4,16,14,-8,-6,-2,-88,-42,-40,-64
14,15,3,-6,16,-1,-7,-11,119,-179,90,63
-1,2,-12,2,5,19,-19,-5,-43,-29,-98,-238
11,-3,-3,17,-18,9,15,0,-243,99,309,-27
-9,12,6,-4,14,-8,15,-1,54,60,24,-44
-4,9,7,-15,-20,6,-6,18,26,138,-50,-228
-15,4,-5,0,16,-4,-13,-13,-292,8,-80,20
14,7,-5,-13,13,-13,-15,-3,77,-203,130,104
-16,-16,-16,16,-10,2,12,-1,-32,-16,352,-48
-18,6,-13,12,0,7,9,-7,54,-168,108,-175
13,17,1,6,16,-7,10,17,378,198,76,95
-16,-3,7,-6,12,3,9,5,-219,-63,30,-9
-9,-1,-6,2,-12,14,-9,3,117,-129,54,-78
19,1,-17,-17,-13,-1,5,-8,-242,-27,136,153
-2,17,-17,-6,4,-6,-14,17,-246,301,16,0
12,1,2,9,11,-2,-5,-12,127,-36,-23,-112
17,-10,16,-13,-14,15,-12,-12,-118,375,-68,396
11,5,15,-4,-10,-20,20,1,-10,-215,-230,-304
0,-10,-15,-10,-12,3,-4,6,40,-60,220,-105
-15,5,8,-17,17,-2,-11,5,-310,55,323,-101
-20,-10,-7,12,19,1,4,7,-420,-90,-85,77
14,-17,16,13,17,-8,-11,-6,425,-10,129,-206
-8,-20,-18,-18,16,20,17,3,-468,-220,-594,-414
20,-11,20,-10,10,-16,15,2,35,-342,50,-340
19,-16,18,9,8,-8,-6,15,248,-392,90,-9
5,-8,7,-1,-13,8,11,16,-153,-88,-102,40
13,-11,20,-1,17,-16,17,15,34,-373,323,-335
20,-17,13,-4,-3,-16,-1,-13,-43,-99,-35,-156
-9,3,12,5,5,-12,-2,5,-51,123,50,-119
-20,12,-18,1,-11,20,-4,6,172,-328,194,-354
-2,8,3,18,-8,0,10,0,96,0,156,0
-9,-14,9,-18,-15,-2,18,0,-117,18,-459,-18
-7,17,14,-4,-3,7,14,17,259,240,-98,30
-3,-19,18,17,1,-1,-7,3,130,-54,-101,33
-11,19,-5,-17,2,-19,10,10,168,399,-180,-75
9,-8,2,8,-9,0,3,12,-105,-96,6,96
-2,16,-10,18,-13,14,8,15,154,212,274,130
16,-15,13,6,-16,10,-5,8,-181,40,-238,178
1,-3,2,-8,-9,6,0,-7,-9,27,-18,68
-4,15,13,3,-8,17,0,20,32,232,-104,281
-13,-5,4,-19,8,8,-9,2,-59,-114,203,-6
-13,15,0,-10,12,-4,9,12,-21,232,-90,-120
19,-10,-13,5,-15,20,-6,8,-225,300,165,-220
-4,-5,-12,7,5,-8,17,-1,-105,37,59,89
11,-6,-10,17,15,-17,20,11,45,-253,190,357
18,18,17,-19,12,-6,-1,-20,198,-468,223,278
-13,18,-14,-15,-16,12,20,-15,568,-426,-76,57
17,9,-10,18,-13,15,8,2,-149,273,274,-114
4,-20,-18,-7,5,13,7,10,-120,-148,-139,-304
17,-18,-14,7,19,13,5,12,233,5,-231,-98
-9,-9,-12,-9,9,12,1,9,-90,-189,-117,-225
-11,6,-15,-7,-5,-16,4,-7,79,134,47,289
-18,-12,4,13,2,2,7,5,-120,-96,99,73
-15,-8,17,2,18,-18,-9,9,-198,198,288,-288
-11,16,18,-13,7,-2,-16,8,-333,150,334,-140
14,-14,2,12,-14,-13,-6,9,-112,-308,-100,82
-8,-7,-1,0,20,11,5,-7,-195,-39,-20,-11
9,19,-5,-6,0,-13,13,-6,247,-231,-78,101
-2,14,2,-3,-10,20,-6,-18,-64,-292,-2,94
0,-8,-6,2,-6,16,-13,-15,104,120,10,-126
5,13,17,2,12,10,-2,-9,34,-67,200,152
-8,18,-15,14,1,18,-8,-6,-152,-252,-127,-354
-8,10,-12,6,-15,1,20,-7,320,-78,300,-54
19,2,19,-2,20,14,-11,17,358,300,402,232
-20,-8,-11,13,4,11,20,-5,-240,-180,216,-186
14,19,11,4,6,18,-11,-10,-125,62,22,158
9,-7,1,-13,3,-1,-20,5,167,-44,263,-66
0,6,-12,-5,0,1,-5,12,-30,72,25,-72
-9,11,9,7,12,-7,-19,2,-317,85,-25,-49
-12,7,6,16,-18,19,-18,-4,90,-256,-396,50
3,16,-6,-11,-12,-1,-20,12,-356,189,292,-126
-15,17,-17,10,-10,-18,-7,6,31,372,100,366
-2,-17,19,20,13,-4,5,14,-111,-230,347,204
-6,-14,9,-16,-13,-19,-13,-8,260,226,91,-43
16,-13,3,-1,-14,4,11,15,-367,-131,-53,-3
7,-13,-7,-7,8,-14,8,2,-48,-124,-112,84
-11,0,-18,-20,-18,0,4,-2,198,0,244,40
-19,-19,14,5,-17,8,11,-17,114,171,-183,27
-8,-19,-18,-3,1,-8,-9,-18,163,406,9,198
-6,-18,-18,-14,-15,-5,9,-7,-72,156,144,188
11,-18,-11,-16,6,-14,-15,5,336,-244,174,74
20,-7,5,20,-11,-11,12,18,-304,-346,185,305
-5,-8,-4,-9,10,9,-5,19,-10,-197,5,-207
-4,10,-2,0,-20,-12,-6,1,20,58,40,24
19,-9,5,5,17,-7,6,7,269,-196,115,0
-9,16,-11,6,14,-11,-10,-17,-286,-173,-214,19
11,1,-8,12,-9,-17,12,-7,-87,-194,216,52
13,9,-19,10,11,4,-9,-11,62,-47,-299,-186
20,19,11,18,-1,12,17,12,303,468,295,348
4,-4,-13,-10,14,5,12,17,8,-48,-302,-235
1,-16,5,-2,7,-6,2,2,-25,-38,31,-34
-19,-5,11,-14,7,3,0,-3,-133,-42,77,75
12,-6,20,15,-4,2,10,13,-108,-54,70,235
-8,-17,-17,7,5,11,0,1,-40,-105,-85,-180
3,-17,1,8,-5,-13,19,-14,-338,199,147,-125
-15,5,-7,19,5,-2,16,20,5,130,269,394
6,-8,0,11,-7,-3,12,2,-138,-34,132,22
0,15,-9,16,18,-5,10,7,150,105,-2,157
0,-20,16,-8,4,10,10,5,-200,-100,-16,120
14,-20,3,-17,-3,-13,-17,1,298,-202,280,-56
-19,13,-15,1,9,-11,-20,12,-431,365,-155,177
-1,1,16,5,3,-3,7,17,4,20,83,37
19,19,11,-11,-10,15,12,9,38,456,-242,66
-9,14,13,1,-13,13,-8,-20,5,-397,-177,149
-8,-10,-8,-3,4,4,14,-2,-172,-12,-74,-26
14,17,4,-4,5,8,9,-4,223,44,-16,48
14,-6,10,-14,2,-20,-18,-4,136,-256,272,-144
4,3,-18,-8,-19,14,7,-4,-55,44,286,-220
8,-4,-9,-9,16,9,16,4,64,56,-288,-117
-12,5,-16,-9,10,-5,-4,10,-140,110,-124,-10
2,1,19,-18,-8,2,0,-5,-16,-1,-152,128
0,6,-18,9,0,-2,-11,17,-66,102,-99,189
3,5,1,12,13,-10,4,-13,59,-95,61,-166
-1,6,19,14,-9,10,-13,-12,-69,-82,-353,22
12,7,12,-20,-1,-4,-15,18,-117,78,288,-408
17,-4,-7,-20,8,-5,18,-1,64,-81,-416,55
8,11,-1,16,19,10,14,8,306,168,205,118
18,-4,12,18,12,-15,-5,-12,236,-222,54,-396
6,-4,9,3,1,-3,20,-5,-74,2,69,-42
13,-3,6,13,-10,16,-3,6,-121,190,-99,174
15,-20,4,0,-11,-4,2,-15,-205,240,-44,-16
-7,8,-7,-3,-16,8,9,-8,184,-120,85,-32
-9,17,-13,20,20,-19,8,11,-44,358,-100,467
-11,-7,-10,5,-16,1,16,-19,64,122,240,-105
-20,19,-5,-4,14,-12,3,-7,-223,107,-82,88
4,17,14,16,-8,-9,-1,-8,-49,-172,-128,-254
18,1,-7,1,20,-2,3,-19,363,-55,-137,-5
-20,12,-14,-10,-1,6,-15,-4,-160,-168,164,-44
7,6,20,1,19,10,5,18,163,178,385,218
10,-14,5,3,-12,6,11,1,-274,46,-27,33
-15,-19,2,-5,19,15,-6,-3,-171,-168,68,45
-8,20,-4,-2,2,0,-6,1,-136,20,4,-2
-10,-5,7,14,18,11,5,19,-205,-205,196,343
-10,-18,12,8,0,-5,6,13,-108,-184,48,44
-1,-9,-10,15,13,-16,3,-1,-40,25,-85,145
-1,19,18,20,12,18,9,14,159,248,396,604
2,-17,-8,3,16,6,8,-6,-104,114,-104,-66
14,16,19,-19,14,15,-5,-6,116,114,361,399
15,16,7,16,-18,-9,19,8,34,-7,178,65
20,-20,-4,-17,10,7,-11,-9,420,320,147,125
3,9,0,-16,-6,16,-17,-18,-171,-114,272,288
-3,4,16,-7,11,18,4,-5,-17,-74,148,323
8,-12,15,13,-2,-16,11,5,-148,-188,113,-175
-12,-2,20,2,-16,10,4,-8,184,-104,-312,184
10,1,1,-6,-14,0,-13,12,-153,12,64,-72
-4,8,10,6,13,-12,-10,14,-132,160,70,-36
-12,-19,-15,4,14,18,20,1,-548,-235,-130,-266
-1,16,11,11,-15,15,18,12,303,177,33,297
-9,20,0,3,-2,6,10,11,218,166,30,33
3,3,12,-18,18,11,4,0,66,33,144,132
19,-14,17,3,7,-3,-20,10,413,-197,59,-21
-2,-2,-4,0,19,20,3,16,-44,-72,-76,-80
-10,-12,20,16,-6,18,3,0,24,-180,-72,360
17,20,-5,-9,17,9,-20,17,-111,493,95,-198
-8,9,-7,-7,-2,9,12,10,124,18,-70,-133
-12,-1,0,14,1,8,-13,3,1,-99,-182,42
8,17,6,-16,-14,11,-2,-8,-146,-48,-52,194
-3,-11,17,-5,9,7,-2,-2,-5,1,163,129
-12,6,6,11,-7,11,-16,9,-12,-78,-218,165
4,3,-3,-1,-18,-10,12,-20,-36,-100,42,50
14,-17,-12,9,20,15,-10,-18,450,516,-330,-342
4,18,-3,2,-1,0,19,-11,338,-198,41,-22
-7,-2,-11,0,-2,-17,-1,10,16,99,22,187
-1,-10,-11,-5,-20,12,-14,20,160,-212,290,-232
7,-7,17,-6,4,12,-19,16,161,-28,182,108
6,-2,-8,-4,15,8,-1,-5,92,58,-116,-44
4,0,11,3,20,-18,10,-1,80,-72,250,-201
-18,13,11,8,19,-18,19,4,-95,376,361,-166
-6,-11,11,18,-6,7,2,15,14,-207,-30,347
19,6,18,-4,9,-11,-9,8,117,-161,198,-230
10,12,-6,11,-13,11,-6,14,-202,278,12,88
-8,19,12,7,-6,-18,12,1,276,163,12,-209
-16,9,-3,-8,-10,14,9,-7,241,-287,-42,14
18,-1,-12,-15,-2,-16,-17,-5,-19,-283,279,267
10,10,-14,6,15,-20,-8,-17,70,-370,-258,178
16,20,20,9,6,15,-15,-2,-204,200,-15,282
-8,9,16,10,18,-14,-15,14,-279,238,138,-84
-2,-6,12,-19,12,6,-12,-14,48,72,372,338
-16,-13,8,-5,-2,-19,12,18,-124,70,-76,-242
-9,-9,-4,-16,-17,-2,-6,-8,207,90,164,136
16,-4,2,15,8,5,11,-6,84,104,181,-80
15,7,6,5,10,6,4,8,178,146,80,76
0,-2,-13,7,-7,-14,7,11,-14,-22,140,259
-3,15,-12,3,15,18,-13,-14,-240,-264,-219,-258
19,12,-9,4,7,-18,-12,-11,-11,-474,-111,118
-8,-3,-16,-5,4,2,3,3,-41,-25,-79,-47
-2,10,-11,17,-17,-7,0,0,34,14,187,77
-4,3,17,3,13,13,-4,9,-64,-25,209,248
-12,-8,-7,13,6,-2,-18,-19,72,176,-276,-233
-18,1,11,-16,11,-18,0,-10,-198,314,121,-38
-5,2,-9,-3,4,9,11,-13,2,-71,-69,-42
5,-4,16,16,15,8,6,-4,51,56,336,64
-8,18,16,-10,17,2,-13,10,-370,164,402,-68
-1,8,15,-17,-7,17,5,9,47,55,-190,102
7,16,18,-10,5,1,20,-12,355,-185,-110,138
-20,-11,3,-9,-17,-20,-15,-12,505,532,84,48
-14,13,-13,-7,-13,16,3,16,221,-16,148,-320
-20,-2,11,10,15,14,13,12,-326,-304,295,274
-17,15,-1,17,-9,-19,-7,6,48,413,-110,121
6,-16,1,20,-11,15,6,11,-162,-86,109,235
10,-13,-10,1,-5,-3,-20,6,210,-108,30,36
1,-2,-5,-4,9,-20,-10,-19,29,18,-5,176
-10,-16,7,15,-11,-19,17,13,-162,-18,178,62
-12,2,13,6,14,-20,-11,-13,-190,214,116,-338
18,-10,-1,-14,-12,-6,6,20,-276,-308,-72,-274
16,-10,10,-19,-17,-2,7,15,-342,-182,-303,-305
-9,9,-13,-5,18,8,16,7,-18,-9,-314,-139
-6,-3,12,-9,-6,1,-1,2,39,-12,-63,-6
-12,1,-3,-8,-15,2,14,20,194,-4,-67,-166
11,18,11,10,1,-13,18,10,335,37,191,-43
19,7,0,6,-18,-6,-11,2,-419,-100,-66,12
1,14,8,-1,16,-2,19,-16,282,-226,109,0
-20,-1,11,12,-1,18,-15,10,35,-370,-191,318
-11,5,6,16,-19,11,17,20,294,-21,158,386
-16,5,-6,14,-11,3,-17,-14,91,-118,-172,-214
10,-14,11,6,13,-18,-5,13,200,-362,113,-120
-20,4,6,11,19,17,9,-5,-344,-360,213,47
-12,10,13,-20,-7,-18,-7,1,14,226,49,-254
-1,5,-10,-13,13,-6,-15,-10,-88,-44,65,190
-3,-15,2,0,-15,18,2,-7,15,51,-30,36
0,2,19,4,2,1,15,16,30,32,98,83
2,-4,-10,10,-13,-16,1,-1,-30,-28,140,150
5,9,14,14,10,7,-16,-14,-94,-91,-84,-98
18,7,-20,-16,-5,8,-5,-11,-125,67,180,16
-16,3,-3,-2,7,-6,-11,-12,-145,60,1,42
-16,-1,3,8,13,1,18,-14,-226,-2,183,-109
0,2,-19,-4,9,15,-16,-8,-32,-16,-107,-253
-5,1,-8,15,9,4,0,1,-45,-19,-72,-17
-16,-8,-10,9,-1,2,-6,6,64,-80,-44,34
